,Unnamed: 0,imdb_id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,tags,youtube_id,split
1200,1903,tt0116743,movie,Kama Sutra: A Tale of Love,Kama Sutra: A Tale of Love,0,1996,\N,117,"Crime,Drama,History","insanity, cruelty, melodrama",2c0JTj9sl_Y,test
1201,1905,tt0116771,movie,Killers,Killers,0,1997,\N,83,"Action,Horror,Thriller","violence, murder",Trei2_ES__I,val
1202,1906,tt0116778,movie,Kingpin,Kingpin,0,1996,\N,114,"Comedy,Sport","cult, comedy, humor",6LEuhBT4TUg,train
1203,1907,tt0116823,movie,Larger Than Life,Larger Than Life,0,1996,\N,93,"Comedy,Family",comedy,I4xX5vuxOaY,train
1204,1908,tt0116830,movie,Last Man Standing,Last Man Standing,0,1996,\N,101,"Action,Crime,Drama","neo noir, murder, violence, good versus evil, action, romantic, revenge",w9SbLAmM9ok,test
1205,1909,tt0116839,movie,Lawnmower Man 2: Beyond Cyberspace,Lawnmower Man 2: Beyond Cyberspace,0,1996,\N,93,"Action,Sci-Fi,Thriller","psychedelic, gothic, sci-fi",MubmJ2jwvOM,test
1206,1910,tt0116861,video,Leprechaun 4: In Space,Leprechaun 4: In Space,0,1996,\N,95,"Comedy,Fantasy,Horror",cult,biZ_dM_Becc,train
1207,1911,tt0116905,movie,Lone Star,Lone Star,0,1996,\N,135,"Drama,Mystery,Western","mystery, alternate history, murder, flashback",fhd8AHbp2c4,train
1208,1912,tt0116922,movie,Lost Highway,Lost Highway,0,1997,\N,134,"Mystery,Thriller","dark, avant garde, neo noir, murder, mystery, boring, cult, violence, atmospheric, clever, insanity, psychedelic",DMWMCbQxEsE,train
1209,1914,tt0116996,movie,Mars Attacks!,Mars Attacks!,0,1996,\N,106,"Comedy,Sci-Fi","comedy, stupid, cult, psychedelic, satire, entertaining",UrU5ADBpl4w,train
1210,1915,tt0117002,movie,Mary Reilly,Mary Reilly,0,1996,\N,108,"Drama,Horror,Romance","good versus evil, melodrama, gothic, murder, flashback",qgHHBYzgL-s,test
1211,1916,tt0117008,movie,Matilda,Matilda,0,1996,\N,98,"Comedy,Family,Fantasy","comedy, fantasy, cruelty, paranormal, dramatic, cute, cult, clever",pnzLRDDijW0,val
1212,1918,tt0117039,movie,Michael Collins,Michael Collins,0,1996,\N,133,"Biography,Drama,Thriller","revenge, historical, murder, violence, romantic",F1pkbe29910,test
1213,1919,tt0117060,movie,Mission: Impossible,Mission: Impossible,0,1996,\N,110,"Action,Adventure,Thriller","suspenseful, mystery, action, murder, flashback",vadCbBuUM0E,val
1214,1921,tt0117104,movie,Mrs. Winterbourne,Mrs. Winterbourne,0,1996,\N,105,"Comedy,Drama,Romance",romantic,hFHYI9wndWU,train
1215,1922,tt0117107,movie,Mulholland Falls,Mulholland Falls,0,1996,\N,107,"Crime,Drama,Mystery","cult, neo noir, murder",#NAME?,test
1216,1923,tt0117108,movie,Multiplicity,Multiplicity,0,1996,\N,117,"Comedy,Romance,Sci-Fi",stupid,hvyj77D8RQY,train
1217,1924,tt0117110,movie,Muppet Treasure Island,Muppet Treasure Island,0,1996,\N,99,"Action,Adventure,Comedy",action,KLUdKoCganU,train
1218,1926,tt0117128,movie,Mystery Science Theater 3000: The Movie,Mystery Science Theater 3000: The Movie,0,1996,\N,73,"Comedy,Drama,Fantasy","cult, comedy, humor",Gc2KS2s07J8,test
1219,1927,tt0117202,movie,Normal Life,Normal Life,0,1996,\N,101,"Crime,Drama",romantic,eZB90dRD79w,train
1220,1932,tt0117333,movie,Phenomenon,Phenomenon,0,1996,\N,123,"Drama,Fantasy,Romance","tragedy, thought-provoking, romantic, psychological",H3woaPZowmM,test
1221,1934,tt0117381,movie,Primal Fear,Primal Fear,0,1996,\N,129,"Crime,Drama,Mystery","suspenseful, psychological, murder, mystery, dramatic, violence, thought-provoking, atmospheric, plot twist, revenge",PnmTi7hSjrA,test
1222,1935,tt0117438,movie,Ransom,Ransom,0,1996,\N,121,"Action,Crime,Thriller","mystery, neo noir, murder, violence, revenge, action, suspenseful",mebIhXK8srA,val
1223,1938,tt0117561,movie,Schizopolis,Schizopolis,0,1996,\N,96,"Comedy,Fantasy,Mystery","comedy, mystery, cult, flashback, psychedelic, absurd, satire, philosophical",f2E7ArARdaE,train
1224,1939,tt0117571,movie,Scream,Scream,0,1996,\N,111,"Horror,Mystery","comedy, mystery, murder, stupid, cult, revenge, violence, horror, plot twist, satire, suspenseful, entertaining, prank",iU9IIdD-EWk,test
1225,1940,tt0117603,movie,Set It Off,Set It Off,0,1996,\N,123,"Action,Crime,Drama","comedy, neo noir, murder, violence, tragedy, revenge",bKB2KclDMTY,val
1226,1941,tt0117608,movie,Sgt. Bilko,Sgt. Bilko,0,1996,\N,93,Comedy,revenge,lnymWvGgVUw,val
1227,1942,tt0117628,movie,She's the One,She's the One,0,1996,\N,96,"Comedy,Drama,Romance",romantic,mIvoJ2_8X5I,train
1228,1943,tt0117631,movie,Shine,Shine,0,1996,\N,105,"Biography,Drama,Music","tragedy, insanity, romantic, sentimental",vTt4Ar6pzO4,train
1229,1944,tt0117665,movie,Sleepers,Sleepers,0,1996,\N,147,"Crime,Drama,Thriller","cruelty, murder, neo noir, sentimental, thought-provoking, sadist, violence, flashback, revenge, storytelling, prank",rNaMAgf4ErE,train
1230,1945,tt0117666,movie,Sling Blade,Sling Blade,0,1996,\N,135,Drama,"neo noir, murder, cult, humor, tragedy, revenge",#NAME?,train
1231,1946,tt0117705,movie,Space Jam,Space Jam,0,1996,\N,88,"Adventure,Animation,Comedy","cult, psychedelic",9W8RnzVIGP4,val
1232,1947,tt0117723,movie,Spy Hard,Spy Hard,0,1996,\N,81,"Action,Comedy","cult, comic, violence, flashback",3ywC-QrUC3s,val
1233,1948,tt0117731,movie,Star Trek: First Contact,Star Trek: First Contact,0,1996,\N,111,"Action,Adventure,Drama","good versus evil, revenge, cult, alternate history, flashback",QXueFFBZ2Eg,train
1234,1949,tt0117765,movie,Striptease,Striptease,0,1996,\N,115,"Comedy,Crime,Drama","comedy, neo noir, murder, stupid, cult, flashback, satire",rjC_zgacV7M,train
1235,1950,tt0117802,movie,Swingers,Swingers,0,1996,\N,96,"Comedy,Drama","comedy, neo noir, cult, romantic, entertaining, storytelling",sfHZvxg87h8,train
1236,1953,tt0117887,movie,That Thing You Do!,That Thing You Do!,0,1996,\N,108,"Comedy,Drama,Music",satire,Vs_h7YdIe_k,test
1237,1954,tt0117894,movie,Thinner,Thinner,0,1996,\N,93,"Fantasy,Horror","cult, revenge, murder",7-b6Mb7vpwk,val
1238,1955,tt0117918,movie,Tin Cup,Tin Cup,0,1996,\N,135,"Comedy,Drama,Romance",romantic,cG-XrSUg1fw,train
1239,1956,tt0117951,movie,Trainspotting,Trainspotting,0,1996,\N,93,Drama,"dark, comedy, adult comedy, bleak, violence, cult, psychedelic, tragedy, revenge",8LuxOYIpu-I,train
1240,1957,tt0117998,movie,Twister,Twister,0,1996,\N,113,"Action,Adventure,Thriller","mystery, action, boring",deqW-FoZpFA,test
1241,1959,tt0118032,tvMovie,Undertow,Undertow,0,1996,\N,93,"Action,Drama,Thriller","suspenseful, violence",t_YEQOaAOrg,test
1242,1960,tt0118040,movie,Unforgettable,Unforgettable,0,1996,\N,117,"Drama,Mystery,Sci-Fi","revenge, murder, flashback",ppsp24yW7ac,val
1243,1965,tt0118301,movie,Dead Man on Campus,Dead Man on Campus,0,1998,\N,96,Comedy,suicidal,PZbXDnXEpfk,train
1244,1966,tt0118308,tvMovie,Emma,Emma,0,1996,\N,107,"Comedy,Drama,Romance","romantic, satire",E636xh228qc,test
1245,1967,tt0118414,tvMiniSeries,The Odyssey,The Odyssey,0,1997,1997,176,"Adventure,Drama,Fantasy",violence,2paSWX2hdNI,train
1246,1968,tt0118460,tvMiniSeries,The Shining,The Shining,0,1997,1997,273,"Drama,Fantasy,Horror","insanity, murder, haunting, flashback",9sGl1LVtszU,train
1247,1971,tt0118523,movie,'Til There Was You,'Til There Was You,0,1997,\N,113,"Comedy,Romance",flashback,7PYWIY_190s,train
1248,1972,tt0118541,movie,8 Heads in a Duffel Bag,8 Heads in a Duffel Bag,0,1997,\N,95,"Adventure,Comedy,Crime",murder,l59Ps8fyQ0s,val
1249,1973,tt0118548,movie,Absolute Power,Absolute Power,0,1997,\N,121,"Action,Crime,Drama","suspenseful, neo noir, murder, violence, romantic, revenge",l2Q7eIl6Ruk,train
1250,1974,tt0118564,movie,Affliction,Affliction,0,1997,\N,114,"Drama,Mystery,Thriller","violence, depressing, murder, flashback",yBvzSs2qo1c,train
1251,1976,tt0118571,movie,Air Force One,Air Force One,0,1997,\N,124,"Action,Drama,Thriller","suspenseful, action, murder, violence",jPYnVOIfNiU,train
1252,1977,tt0118583,movie,Alien: Resurrection,Alien Resurrection,0,1997,\N,109,"Action,Horror,Sci-Fi","boring, paranormal, cult, horror, violence, action",#NAME?,train
1253,1978,tt0118589,movie,Glitter,Glitter,0,2001,\N,104,"Drama,Music,Romance","cult, murder, sentimental",QaKxGrajnzY,train
1254,1979,tt0118607,movie,Amistad,Amistad,0,1997,\N,155,"Biography,Drama,History","violence, boring, historical, murder, sadist",BJFDOvGMD0U,val
1255,1980,tt0118615,movie,Anaconda,Anaconda,0,1997,\N,89,"Action,Adventure,Horror","insanity, cult, comedy, suspenseful",mXvM3byIWTg,train
1256,1981,tt0118617,movie,Anastasia,Anastasia,0,1997,\N,94,"Adventure,Animation,Drama","romantic, cute, entertaining",3U0KDQqtpSY,test
1257,1982,tt0118636,movie,Apt Pupil,Apt Pupil,0,1998,\N,111,"Crime,Drama,Thriller","violence, psychological, cruelty, murder",VGt4pPK6Zak,train
1258,1983,tt0118655,movie,Austin Powers: International Man of Mystery,Austin Powers: International Man of Mystery,0,1997,\N,94,"Adventure,Comedy","comedy, boring, cult, good versus evil, psychedelic, humor, satire, revenge, entertaining",Oze1bn4_pbk,test
1259,1985,tt0118688,movie,Batman & Robin,Batman & Robin,0,1997,\N,125,"Action,Sci-Fi","comedy, murder, violence, atmospheric, flashback, good versus evil, action, revenge, entertaining",ORAGHEV890Y,test
1260,1986,tt0118689,movie,Bean,Bean,0,1997,\N,89,"Adventure,Comedy,Family","cult, comedy, entertaining",OxLQZVmKWEo,train
1261,1987,tt0118698,movie,Bent,Bent,0,1997,\N,105,"Drama,History,Romance","murder, flashback, insanity, romantic, sadist, sentimental",TtcfmJG3JnE,train
1262,1988,tt0118708,movie,Beverly Hills Ninja,Beverly Hills Ninja,0,1997,\N,88,"Action,Comedy",murder,L7wjZZDmyhY,test
1263,1990,tt0118736,movie,Six-String Samurai,Six-String Samurai,0,1998,\N,91,"Action,Adventure,Comedy",cult,pfTWYP4bE28,val
1264,1991,tt0118747,movie,Blues Brothers 2000,Blues Brothers 2000,0,1998,\N,123,"Action,Comedy,Crime",cult,_ESdH-CRUAE,val
1265,1992,tt0118749,movie,Boogie Nights,Boogie Nights,0,1997,\N,155,Drama,"comedy, murder, dramatic, cult, violence, romantic, historical",e3VSoJMreh8,val
1266,1993,tt0118771,movie,Breakdown,Breakdown,0,1997,\N,93,"Crime,Drama,Mystery","mystery, neo noir, murder, cult, revenge, violence, suspenseful, sadist",ECIc4pX8zKA,test
1267,1994,tt0118790,tvMovie,Buffalo Soldiers,Buffalo Soldiers,0,1997,\N,100,"Drama,History,Western","violence, murder",9r2whCq2iTw,train
1268,1995,tt0118798,movie,Bulworth,Bulworth,0,1998,\N,108,"Comedy,Drama,Romance","romantic, comedy, satire, entertaining",PWca7MI-RBs,val
1269,1996,tt0118818,movie,Career Girls,Career Girls,0,1997,\N,83,"Comedy,Drama",realism,H3ZEYe-qYrI,train
1270,1997,tt0118829,movie,Cats Don't Dance,Cats Don't Dance,0,1997,\N,75,"Animation,Comedy,Family","psychedelic, alternate reality",J4SLVwTzjGI,train
1271,1998,tt0118842,movie,Chasing Amy,Chasing Amy,0,1997,\N,113,"Comedy,Drama,Romance","cult, entertaining, romantic",HUK_emJcut0,test
1272,2000,tt0118880,movie,Con Air,Con Air,0,1997,\N,115,"Action,Crime,Thriller","suspenseful, murder, violence, cult, action, revenge",V9JSHbzfauM,val
1273,2001,tt0118883,movie,Conspiracy Theory,Conspiracy Theory,0,1997,\N,135,"Action,Mystery,Thriller","comedy, mystery, murder, dramatic, thought-provoking, flashback, brainwashing, romantic",xM8lwvcKL4s,train
1274,2002,tt0118884,movie,Contact,Contact,0,1997,\N,150,"Drama,Mystery,Sci-Fi","boring, thought-provoking, intrigue, flashback, psychedelic, philosophical, tragedy, inspiring",0bQsOfbJlZA,train
1275,2003,tt0118887,movie,Cop Land,Cop Land,0,1997,\N,105,"Crime,Drama,Thriller","neo noir, murder, dramatic, cult, violence, flashback",DWLFW9iAr-E,test
1276,2004,tt0118892,movie,Dangerous Beauty,Dangerous Beauty,0,1998,\N,111,"Biography,Drama,Romance","historical, cruelty, sadist, melodrama",xYu37jF0d3c,test
1277,2005,tt0118900,movie,Gang Related,Gang Related,0,1997,\N,116,"Action,Crime,Drama","violence, murder",yom2xLNiKTM,train
1278,2006,tt0118927,movie,Dangerous Ground,Dangerous Ground,0,1997,\N,95,"Action,Crime,Drama",revenge,D313rsokyXg,train
1279,2007,tt0118928,movie,Dante's Peak,Dante's Peak,0,1997,\N,108,"Action,Adventure,Thriller","tragedy, suspenseful",O8HNlhVbGzY,train
1280,2008,tt0118929,movie,Dark City,Dark City,0,1998,\N,100,"Fantasy,Mystery,Sci-Fi","comedy, dark, gothic, murder, neo noir, fantasy, thought-provoking, cult, alternate reality, violence, atmospheric, flashback, insanity, psychedelic, philosophical, claustrophobic, suspenseful, sci-fi",g5cv1bKdP0A,train
1281,2009,tt0118954,movie,Deconstructing Harry,Deconstructing Harry,0,1997,\N,96,Comedy,"psychedelic, humor",WwXOol3hRUg,train
1282,2010,tt0118956,movie,Deep Rising,Deep Rising,0,1998,\N,106,"Action,Adventure,Horror","violence, suspenseful, comedy, romantic",r8CYpb7zrjs,test
1283,2011,tt0118966,movie,Desperate Measures,Desperate Measures,0,1998,\N,100,"Action,Crime,Drama",revenge,gUyjIXTYN_M,val
1284,2012,tt0118971,movie,The Devil's Advocate,The Devil's Advocate,0,1997,\N,144,"Drama,Mystery,Thriller","psychological, murder, paranormal, allegory, cult, intrigue, violence, thought-provoking, insanity, psychedelic, satire",40hHA9n4C2o,train
1285,2013,tt0118996,movie,Dobermann,Dobermann,0,1997,\N,103,"Action,Crime,Thriller","cult, violence",eijRyGWoSW4,train
1286,2014,tt0118998,movie,Doctor Dolittle,Doctor Dolittle,0,1998,\N,85,"Comedy,Family,Fantasy","psychedelic, cute",ozMmf9Yi7TM,test
1287,2015,tt0119008,movie,Donnie Brasco,Donnie Brasco,0,1997,\N,127,"Biography,Crime,Drama","violence, neo noir, murder, storytelling",w4i_M0DdQMc,val
1288,2016,tt0119013,movie,Double Team,Double Team,0,1997,\N,93,"Action,Comedy,Sci-Fi","revenge, cult, violence",7ngWX2IRPzE,train
1289,2017,tt0119081,movie,Event Horizon,Event Horizon,0,1997,\N,96,"Horror,Sci-Fi,Thriller","dark, gothic, cult, alternate reality, violence, horror, haunting, flashback, insanity, suspenseful, sadist",yy6fQReZNIk,val
1290,2018,tt0119094,movie,Face/Off,Face/Off,0,1997,\N,138,"Action,Crime,Sci-Fi","comedy, neo noir, murder, stupid, dramatic, cult, violence, flashback, good versus evil, action, romantic, tragedy, revenge",5SVNLZXQcP0,train
1291,2019,tt0119095,movie,FairyTale: A True Story,FairyTale: A True Story,0,1997,\N,99,"Drama,Family,Fantasy","psychedelic, fantasy",dffHCbioUlk,val
1292,2020,tt0119099,movie,Fallen,Fallen,0,1998,\N,124,"Action,Crime,Drama","comedy, suspenseful, gothic, murder, neo noir, boring, paranormal, cult, violence, plot twist, flashback, good versus evil, insanity, psychedelic, philosophical, revenge",oqcqVt_cD1M,val
1293,2021,tt0119115,movie,Fierce Creatures,Fierce Creatures,0,1997,\N,93,Comedy,"cult, comedy, humor",fU9zV8gdEUw,train
1294,2022,tt0119123,movie,Fire Down Below,Fire Down Below,0,1997,\N,105,"Action,Drama,Thriller","violence, flashback",TpvzaulFE40,train
1295,2023,tt0119137,movie,Flubber,Flubber,0,1997,\N,93,"Comedy,Family,Sci-Fi",romantic,dl4r6JK6vgY,test
1296,2024,tt0119142,movie,For Richer or Poorer,For Richer or Poorer,0,1997,\N,115,Comedy,romantic,vanu_y5NY6s,val
1297,2025,tt0119167,movie,Funny Games,Funny Games,0,1997,\N,108,"Crime,Drama,Thriller","violence, dark, murder, sadist",tkbG1uSH0to,train
1298,2026,tt0119173,movie,G.I. Jane,G.I. Jane,0,1997,\N,125,"Action,Drama,War","cult, comedy",6e3yVj5K178,train
1299,2027,tt0119177,movie,Gattaca,Gattaca,0,1997,\N,106,"Drama,Sci-Fi,Thriller","comedy, boring, neo noir, murder, dramatic, cult, violence, thought-provoking, atmospheric, flashback, inspiring, romantic, sci-fi",hWjlUj7Czlk,train
1300,2028,tt0119190,movie,George of the Jungle,George of the Jungle,0,1997,\N,92,"Action,Adventure,Comedy","violence, comic",opqC7DhdaTM,val
1301,2029,tt0119215,movie,Good Burger,Good Burger,0,1997,\N,95,"Comedy,Family",cult,mzoMkdsYHHQ,val
1302,2030,tt0119217,movie,Good Will Hunting,Good Will Hunting,0,1997,\N,126,"Drama,Romance","psychological, cute, feel-good, flashback, humor, inspiring",DyiPHC_VQFY,train
1303,2031,tt0119223,movie,Great Expectations,Great Expectations,0,1998,\N,111,"Drama,Romance","revenge, murder, romantic",_slwSCPtiLM,train
1304,2032,tt0119229,movie,Grosse Pointe Blank,Grosse Pointe Blank,0,1997,\N,107,"Action,Comedy,Crime","comedy, neo noir, murder, cult, violence, psychedelic, satire, revenge, entertaining",IJ7AXKWmWOg,val
1305,2033,tt0119237,movie,Gummo,Gummo,0,1997,\N,89,"Comedy,Drama","comedy, mystery, avant garde, cult, violence, psychedelic",4u7UG6n5100,train
1306,2034,tt0119256,movie,Hard Eight,Sydney,0,1996,\N,102,"Crime,Drama","violence, neo noir, murder, flashback",rggtzgTDx1Q,val
1307,2035,tt0119273,movie,Heavy Metal 2000,Heavy Metal 2000,0,2000,\N,88,"Action,Adventure,Animation","comedy, murder, violence, cult, insanity, revenge",HLXlHwwDN_4,train
1308,2036,tt0119282,movie,Hercules,Hercules,0,1997,\N,93,"Adventure,Animation,Comedy","good versus evil, romantic",5jfpDYt1s0c,test
1309,2037,tt0119304,movie,Home Fries,Home Fries,0,1998,\N,91,"Comedy,Drama,Romance","comedy, murder",CP3eJq-93ws,train
1310,2038,tt0119313,movie,Hope Floats,Hope Floats,0,1998,\N,114,"Drama,Romance","revenge, romantic, flashback",nNVbi6tGhrg,train
1311,2039,tt0119345,movie,I Know What You Did Last Summer,I Know What You Did Last Summer,0,1997,\N,101,"Horror,Mystery","mystery, murder, cult, revenge, horror, suspenseful, entertaining, storytelling",EcWK0M4VMjA,test
1312,2040,tt0119360,movie,In & Out,In & Out,0,1997,\N,90,"Comedy,Romance",queer,9wlbRbpMjnU,train
1313,2041,tt0119361,movie,In the Company of Men,In the Company of Men,0,1997,\N,97,"Comedy,Drama","comedy, psychological, cruelty, cult, satire, romantic, revenge",5kvfCm-rVpQ,test
1314,2043,tt0119375,movie,Insomnia,Insomnia,0,1997,\N,96,"Crime,Mystery,Thriller","neo noir, murder, bleak, violence, cult, romantic, suspenseful",PrtP4KuLvMQ,train
1315,2044,tt0119396,movie,Jackie Brown,Jackie Brown,0,1997,\N,154,"Crime,Drama,Thriller","comedy, boring, neo noir, murder, suspenseful, realism, cult, violence, psychedelic, romantic, blaxploitation",2ASig8oJilc,train
1316,2045,tt0119472,movie,Knockin' on Heaven's Door,Knockin' on Heaven's Door,0,1997,\N,87,"Action,Comedy,Crime","comedy, humor",hTuU2LWdQlU,train
1317,2046,tt0119484,movie,Kull the Conqueror,Kull the Conqueror,0,1997,\N,95,"Action,Adventure,Fantasy","violence, murder",Qlondt_U4w4,train
1318,2047,tt0119485,movie,Kundun,Kundun,0,1997,\N,134,"Biography,Drama,History","avant garde, murder",cFm8oP9c9Hs,train
1319,2048,tt0119488,movie,L.A. Confidential,L.A. Confidential,0,1997,\N,138,"Crime,Drama,Mystery","dark, suspenseful, neo noir, murder, boring, mystery, dramatic, violence, flashback, tragedy, revenge",gthnoUBB_YI,train
1320,2049,tt0119528,movie,Liar Liar,Liar Liar,0,1997,\N,86,"Comedy,Fantasy","comedy, humor, entertaining, adult comedy",C1no75lpOiw,train
1321,2050,tt0119558,movie,Lolita,Lolita,0,1997,\N,137,"Drama,Romance","tragedy, murder",vaO_L0n0zhc,train
1322,2051,tt0119572,movie,Love Jones,Love Jones,0,1997,\N,109,"Drama,Romance",cult,xNMoQ_Cqt4E,val
1323,2053,tt0119630,movie,Masterminds,Masterminds,0,1997,\N,106,"Action,Comedy,Thriller",revenge,pJ7sjitftNg,test
1324,2054,tt0119640,movie,McHale's Navy,McHale's Navy,0,1997,\N,108,"Action,Comedy","revenge, cult",K_MLWXe3PCc,train
1325,2055,tt0119643,movie,Meet Joe Black,Meet Joe Black,0,1998,\N,178,"Drama,Fantasy,Romance",paranormal,_zIOjl93WrU,test
1326,2056,tt0119654,movie,Men in Black,Men in Black,0,1997,\N,98,"Action,Adventure,Comedy","comedy, cult, violence, good versus evil, absurd, humor, satire, action, plot twist",PcXlZ-2NPi8,val
1327,2057,tt0119664,movie,Metro,Metro,0,1997,\N,117,"Action,Comedy,Crime","revenge, murder, violence",6bumn8hGuOQ,train
1328,2060,tt0119707,movie,Mortal Kombat: Annihilation,Mortal Kombat: Annihilation,0,1997,\N,95,"Action,Adventure,Fantasy","murder, cult, alternate reality, violence, good versus evil, absurd, psychedelic, revenge",InrQBpj__Vc,train
1329,2061,tt0119731,movie,Murder at 1600,Murder at 1600,0,1997,\N,107,"Action,Crime,Drama","suspenseful, neo noir, murder, violence",q-CZrYOy_gI,train
1330,2062,tt0119738,movie,My Best Friend's Wedding,My Best Friend's Wedding,0,1997,\N,105,"Comedy,Drama,Romance","thought-provoking, revenge, intrigue, comedy, romantic",p5r92GgKizY,train
1331,2065,tt0119809,movie,Nowhere,Nowhere,0,1997,\N,82,"Comedy,Drama,Sci-Fi","murder, violence, cult, psychedelic, satire, romantic",MOU84XapeR0,test
1332,2066,tt0119822,movie,As Good as It Gets,As Good as It Gets,0,1997,\N,139,"Comedy,Drama,Romance","comedy, psychological, dramatic, feel-good, psychedelic, romantic, entertaining",rrRl2QQKkI8,train
1333,2068,tt0119891,movie,Phantoms,Phantoms,0,1998,\N,96,"Horror,Sci-Fi,Thriller","suspenseful, murder, violence",GGQk29OVGZ0,val
1334,2069,tt0119896,movie,Picture Perfect,Picture Perfect,0,1997,\N,101,"Comedy,Drama,Romance",romantic,fXAF3bvtvE0,train
1335,2070,tt0119905,movie,The Players Club,The Players Club,0,1998,\N,104,"Comedy,Drama",violence,BM_rc2rO-E0,train
1336,2072,tt0119937,movie,Prefontaine,Prefontaine,0,1997,\N,106,"Biography,Drama,Romance","flashback, murder, anti war, home movie",FmtqzdHOECc,test
1337,2073,tt0119942,movie,Primary Colors,Primary Colors,0,1998,\N,143,"Comedy,Drama","satire, atmospheric",llEsfNtE4iQ,train
